"","salary","age","elevel","car","zipcode","credit","brand"
"3182",51208.12608,79,2,15,3,489,"Elago"
"3183",119192.5941,73,3,17,6,783.48,"Belkin"
"3184",77899.12434,36,3,1,6,683.53,"Belkin"
"3185",98051.66889,61,3,14,2,592.17,"Belkin"
"3186",128183.3726,35,2,14,7,683.08,"Elago"
"3187",86372.02555,75,3,14,1,597.07,"Belkin"
"3189",45730.67678,22,1,8,4,566.47,"Elago"
"3191",35319.08831,39,1,20,0,563.98,"Elago"
"3192",80265.81256,70,3,15,4,659,"Elago"
"3193",50243.86363,62,1,5,7,552.15,"Belkin"
"3194",31392.28755,24,1,3,7,622.1,"Elago"
"3195",73218.63802,23,2,7,4,565.79,"Elago"
"3198",20000,76,1,7,8,547.66,"Belkin"
"3199",36227.14217,49,2,20,4,498.5,"Elago"
"3200",48181.32118,67,2,10,2,647.78,"Belkin"
"3201",64774.64415,52,2,4,0,637.53,"Elago"
"3202",101624.0683,66,2,6,7,680.3,"Elago"
"3203",27952.84383,39,1,18,3,525.48,"Elago"
"3205",78273.53795,21,3,13,3,703.7,"Belkin"
"3206",88449.89996,22,2,16,7,588.46,"Elago"
"3207",63383.68426,53,2,8,2,546.42,"Elago"
"3208",52882.22781,63,2,20,3,582.77,"Belkin"
"3209",78110.24604,58,2,17,8,601.16,"Belkin"
"3210",85179.4213,58,3,19,5,590.17,"Belkin"
"3214",104222.9482,73,2,3,5,622.81,"Belkin"
"3216",23337.39341,37,2,15,4,597.78,"Elago"
"3217",32856.13754,64,1,20,5,463.98,"Belkin"
"3220",150000,46,4,1,8,781.54,"Elago"
"3221",130808.7052,71,3,4,5,671.14,"Elago"
"3222",72763.91107,33,3,20,2,531.92,"Belkin"
"3223",97309.55564,79,3,2,8,631.08,"Belkin"
"3224",111670.2267,74,2,6,3,628.83,"Elago"
"3227",49480.10439,63,2,20,4,513.19,"Elago"
"3228",143826.1481,74,4,1,8,711.93,"Belkin"
"3229",27783.10551,39,1,15,8,588.91,"Elago"
"3231",110422.6742,54,3,12,2,690.03,"Belkin"
"3232",128667.6277,51,3,4,3,799.59,"Belkin"
"3236",111334.9014,32,3,3,7,734.26,"Elago"
"3237",148692.6127,67,3,13,0,785.65,"Belkin"
"3238",115147.8825,49,3,10,6,744.12,"Belkin"
"3239",140414.6399,26,3,4,8,775.23,"Elago"
"3240",141753.2106,47,3,3,3,700.16,"Elago"
"3242",53184.51219,75,1,16,8,514.99,"Belkin"
"3243",119523.3898,33,4,16,3,695.34,"Elago"
"3244",60978.10856,42,3,1,7,576.96,"Elago"
"3245",82893.42192,71,2,3,4,541.87,"Elago"
"3246",123611.287,61,4,17,4,789.47,"Belkin"
"3247",47381.20309,20,2,8,6,528.98,"Elago"
"3249",86242.63475,22,3,10,4,622.85,"Elago"
"3251",122817.0148,74,4,12,6,782.17,"Elago"
"3252",43012.44529,61,1,5,0,486.7,"Belkin"
"3254",20000,64,2,18,0,526.3,"Belkin"
"3255",97241.5436,24,2,5,0,743.88,"Belkin"
"3257",47858.47099,72,1,20,6,508.97,"Belkin"
"3259",47945.79985,40,1,6,5,475.94,"Elago"
"3260",136027.1927,35,3,13,7,761.6,"Elago"
"3261",68553.7993,76,2,18,1,610.67,"Belkin"
"3262",27720.13646,66,2,17,2,618.1,"Belkin"
"3263",78135.95379,69,2,18,3,605.02,"Belkin"
"3264",65775.92548,62,2,1,1,585.16,"Belkin"
"3265",126961.7813,57,3,16,7,690.11,"Belkin"
"3266",77104.55083,64,2,19,8,614.18,"Belkin"
"3268",75844.27339,41,2,2,7,605.42,"Elago"
"3270",67238.90761,51,1,7,2,542.04,"Elago"
"3272",103429.6124,39,3,6,8,743.62,"Elago"
"3274",42342.55753,40,1,8,5,525.39,"Elago"
"3275",84812.21718,38,2,16,2,638.09,"Belkin"
"3276",23235.84583,75,2,17,6,565.04,"Elago"
"3278",31729.66456,72,2,15,8,607.31,"Belkin"
"3280",23356.55111,38,1,18,4,579.64,"Elago"
"3281",112876.8077,30,2,19,1,630.4,"Elago"
"3282",80324.01773,76,3,5,3,540.37,"Belkin"
"3283",126361.7476,42,3,10,8,763.53,"Belkin"
"3284",56062.22678,63,1,7,6,491.25,"Belkin"
"3286",112336.7869,72,2,9,1,690.45,"Belkin"
"3288",96409.01483,22,2,6,2,671.51,"Elago"
"3291",59423.98933,69,2,17,8,498.37,"Belkin"
"3292",118339.092,51,2,14,6,709,"Belkin"
"3293",94731.64783,58,2,2,2,629.4,"Belkin"
"3294",108946.2383,31,3,6,8,593.71,"Elago"
"3295",78238.12041,70,3,8,0,562.13,"Belkin"
"3296",23819.54845,45,2,18,4,514.45,"Elago"
"3298",58674.49279,57,2,3,2,634.02,"Belkin"
"3299",43065.72807,20,1,20,4,488.08,"Elago"
"3304",43575.06615,59,2,8,1,635.7,"Belkin"
"3306",26825.89805,32,1,19,4,537.63,"Elago"
"3308",90376.36658,79,2,6,0,631.87,"Belkin"
"3309",119328.8468,71,2,17,8,745.87,"Belkin"
"3311",123729.1136,48,3,4,5,631.4,"Belkin"
"3312",139259.4398,40,3,5,8,760.79,"Elago"
"3313",90068.01537,55,3,18,8,596.07,"Belkin"
"3314",72115.35697,77,3,15,0,669.16,"Belkin"
"3319",77387.68856,45,2,20,7,640.56,"Belkin"
"3320",27012.45379,48,2,12,7,616.04,"Elago"
"3321",83480.76569,58,3,8,8,636.2,"Belkin"
"3322",23412.28337,59,1,20,8,490.65,"Elago"
"3323",36439.84521,73,1,6,2,556.92,"Belkin"
"3325",39713.13338,25,1,20,5,522.07,"Elago"
"3326",73947.87938,71,3,3,4,562.7,"Belkin"
"3328",79580.54576,32,2,5,1,634.3,"Belkin"
"3329",69037.22101,22,3,15,1,553.38,"Elago"
"3331",58373.95254,45,2,10,8,548.07,"Elago"
"3332",44859.44794,54,1,8,7,475.9,"Elago"
"3333",105169.5457,58,3,13,1,607.96,"Belkin"
"3334",82334.5806,35,2,7,3,629.51,"Belkin"
"3335",149254.9339,68,3,19,3,735.78,"Belkin"
"3336",122408.228,30,4,2,4,638.03,"Elago"
"3337",93801.9282,66,2,13,1,730.96,"Elago"
"3341",112387.8335,61,3,8,6,766.04,"Elago"
"3342",96640.72623,41,2,9,1,575.33,"Belkin"
"3343",47732.81732,71,1,10,1,534.87,"Elago"
"3344",119870.3803,44,2,3,6,715.05,"Belkin"
"3346",51545.83381,76,2,4,6,523.8,"Belkin"
"3347",66729.29487,62,2,4,7,522.13,"Belkin"
"3348",33991.28753,21,2,7,7,551.07,"Elago"
"3350",94908.33489,69,2,17,8,577.59,"Belkin"
"3351",36230.51749,48,2,7,2,456.92,"Elago"
"3352",88520.74555,24,2,2,1,727.51,"Elago"
"3353",75378.26838,49,2,19,6,561.1,"Elago"
"3355",91412.30535,80,2,12,4,712,"Belkin"
"3356",139306.3092,34,3,2,6,689.45,"Elago"
"3357",133787.2795,68,3,19,2,644.76,"Elago"
"3359",107605.5747,25,2,2,4,672.83,"Elago"
"3360",126060.2434,65,3,3,0,727.71,"Belkin"
"3363",87691.78476,51,2,10,6,680.93,"Belkin"
"3364",118101.9772,36,2,13,0,642.79,"Elago"
"3365",124095.9612,52,4,4,6,737.98,"Elago"
"3367",130887.9006,23,3,20,0,652.71,"Elago"
"3368",59735.39764,21,1,3,3,624.79,"Elago"
"3369",134231.358,63,3,12,2,768.11,"Belkin"
"3370",63757.37386,47,2,18,7,547.17,"Elago"
"3371",109984.6542,51,3,12,2,597.56,"Belkin"
"3373",142849.8704,45,3,11,8,699.77,"Elago"
"3374",141106.1204,76,3,7,2,760.84,"Elago"
"3375",21818.54038,63,1,20,5,460.04,"Elago"
"3376",43429.92039,34,2,10,5,636.1,"Elago"
"3377",119633.0048,34,3,13,4,700.89,"Elago"
"3378",25464.34418,60,2,15,6,579.81,"Belkin"
"3380",149973.4594,80,4,11,4,751.42,"Elago"
"3381",125826.7566,56,3,12,7,775.7,"Elago"
"3383",138144.7044,45,3,20,6,769.13,"Elago"
"3384",125383.3215,68,4,5,3,792.86,"Belkin"
"3386",65396.86745,39,1,3,1,545,"Elago"
"3387",121282.3581,59,3,14,3,769.3,"Belkin"
"3388",81630.75363,71,3,12,6,570.23,"Belkin"
"3389",137428.9093,55,2,17,4,825.28,"Elago"
"3390",112779.0697,65,2,6,6,771.24,"Belkin"
"3391",82108.09884,68,3,19,6,706.39,"Belkin"
"3392",127684.0898,37,3,14,2,786.96,"Elago"
"3393",51738.34825,34,2,4,7,518.04,"Elago"
"3395",54356.63555,48,2,20,6,522.26,"Elago"
"3398",132905.6146,25,3,3,1,691.29,"Elago"
"3399",56402.75863,22,2,8,1,564.65,"Elago"
"3401",28983.32131,32,2,20,7,472.13,"Elago"
"3403",70302.53879,59,3,3,0,593.25,"Belkin"
"3404",24037.32289,25,2,15,3,507.53,"Elago"
"3405",124242.4812,38,4,20,1,785.45,"Elago"
"3408",30601.38487,66,2,18,5,601.18,"Belkin"
"3410",20000,49,1,18,3,473.65,"Elago"
"3413",87182.39108,47,2,18,3,556.77,"Belkin"
"3414",32799.03474,44,2,20,6,499.05,"Elago"
"3417",63871.51129,71,1,17,3,589.52,"Belkin"
"3418",77325.31211,33,3,16,5,698.65,"Belkin"
"3419",84474.36376,67,2,2,4,610.83,"Belkin"
"3420",128141.0208,40,3,6,7,637.25,"Elago"
"3421",37691.89565,41,2,6,1,601.34,"Elago"
"3424",86621.75121,53,2,3,3,597.04,"Belkin"
"3426",96787.44045,22,3,19,5,721.85,"Elago"
"3427",58919.64933,60,2,17,7,577.94,"Belkin"
"3428",86390.03547,63,3,5,2,697.94,"Belkin"
"3429",46073.14248,74,1,20,4,627.11,"Belkin"
"3430",136179.647,52,2,2,3,796.77,"Elago"
"3431",106401.446,45,3,3,6,665.04,"Belkin"
"3432",90004.58146,65,3,12,8,604.33,"Elago"
"3436",48970.60266,44,3,3,2,658.41,"Elago"
"3438",142633.7923,78,3,14,5,805.18,"Belkin"
"3440",113535.6769,38,2,20,4,660.9,"Elago"
"3441",88267.72274,44,3,17,5,726.43,"Belkin"
"3442",115257.8369,62,2,19,7,762.25,"Belkin"
"3443",59720.43148,63,3,6,5,620.84,"Belkin"
"3444",63093.3181,46,2,7,0,528.59,"Elago"
"3446",134271.3158,47,3,8,0,724.45,"Elago"
"3447",46764.49785,72,1,4,4,566.62,"Belkin"
"3448",123877.3358,22,3,1,5,713.73,"Belkin"
"3449",138173.329,55,2,13,6,786.31,"Elago"
"3450",94344.86442,55,3,20,4,582.58,"Belkin"
"3451",112473.5219,67,3,16,4,735.17,"Elago"
"3452",110827.309,50,3,19,5,643.47,"Belkin"
"3455",109952.6866,22,3,5,7,713.51,"Elago"
"3456",68807.69526,50,1,16,1,695.83,"Elago"
"3457",83221.96044,32,2,2,1,659.56,"Belkin"
"3458",137593.9842,39,3,14,3,773.73,"Elago"
"3459",96689.21987,54,3,10,3,743.91,"Elago"
"3460",129600.4844,53,3,12,5,703.61,"Elago"
"3461",135168.5477,27,3,2,5,796.5,"Elago"
"3465",33829.66149,51,1,18,8,523.09,"Belkin"
"3466",125068.722,69,4,1,4,643.22,"Belkin"
"3469",83267.49625,78,2,9,3,700.58,"Elago"
"3474",46430.25401,68,2,20,7,631.04,"Belkin"
"3477",121599.1924,62,3,16,0,781.79,"Belkin"
"3479",136571.0576,47,3,17,4,791.15,"Elago"
"3480",84964.19943,52,3,12,2,631.76,"Belkin"
"3481",125122.0232,56,3,2,0,777.48,"Belkin"
"3482",134609.1712,55,2,14,1,694.2,"Elago"
"3483",132774.2199,34,3,17,4,739.39,"Elago"
"3484",28896.36275,23,2,18,1,453.95,"Elago"
"3485",95222.60549,41,3,3,0,634.74,"Belkin"
"3486",21101.12525,77,1,18,6,557.9,"Belkin"
"3487",108492.8347,56,3,19,4,731.51,"Elago"
"3489",142641.5404,41,3,11,7,700.77,"Elago"
"3492",70585.11598,76,2,19,4,577.55,"Elago"
"3493",122716.7279,20,3,2,1,737.85,"Elago"
"3494",37256.08503,78,2,5,2,529.44,"Belkin"
"3496",24861.80553,66,2,18,4,602.09,"Belkin"
"3497",44217.66357,27,1,19,6,500.14,"Elago"
"3498",20574.11119,74,1,15,0,534.07,"Belkin"
"3500",104996.0206,70,3,12,4,737.28,"Belkin"
"3501",32476.32359,51,1,20,8,468.6,"Elago"
"3505",114053.9422,27,3,5,3,688.44,"Elago"
"3508",37239.58778,78,1,4,2,540.98,"Belkin"
"3509",37910.1441,20,2,1,1,601.24,"Elago"
"3511",41992.23261,27,2,20,6,563.78,"Elago"
"3512",74787.7595,20,3,4,6,670.81,"Belkin"
"3518",20757.96787,48,1,15,6,432.28,"Elago"
"3520",52948.38082,57,2,7,8,655.42,"Elago"
"3521",23629.33779,46,1,18,7,535.77,"Elago"
"3524",107685.5171,23,3,16,8,664.23,"Elago"
"3525",41106.43827,71,2,6,0,491.03,"Belkin"
"3526",90505.45445,62,3,6,6,636.9,"Belkin"
"3527",145890.7549,27,3,12,1,796.23,"Elago"
"3529",44133.81369,34,2,7,2,574.76,"Elago"
"3530",43803.96584,26,1,10,7,592.4,"Elago"
"3531",127817.3438,62,3,7,5,684.96,"Belkin"
"3532",150000,59,3,5,7,695.17,"Belkin"
"3533",115939.4931,47,3,9,3,760.13,"Belkin"
"3538",63077.13127,51,3,7,3,624.31,"Elago"
"3540",150000,22,4,4,4,770.65,"Elago"
"3541",34609.09359,74,1,18,4,554.47,"Elago"
"3542",93465.88868,79,2,17,3,602.86,"Belkin"
"3543",29510.94823,54,2,18,8,533.77,"Elago"
"3544",64269.73586,34,2,7,4,513.78,"Elago"
"3545",131505.2974,51,3,6,3,786.72,"Elago"
"3546",139326.2841,21,2,9,6,664.8,"Elago"
"3548",129999.907,66,3,14,4,708.34,"Elago"
"3549",119492.7013,38,4,14,1,641.64,"Belkin"
"3550",44681.18581,43,1,19,8,481.95,"Elago"
"3551",81218.54193,23,3,12,0,716.94,"Elago"
"3552",64792.29735,34,2,12,3,611.55,"Belkin"
"3553",89137.34123,27,2,13,0,616.47,"Belkin"
"3554",32881.01014,67,1,3,1,583.44,"Belkin"
"3556",22378.87915,38,2,1,8,441.3,"Elago"
"3557",86059.61223,53,2,3,5,695.57,"Belkin"
"3558",30479.4186,43,2,20,0,516.24,"Elago"
"3559",92539.75251,80,3,3,7,576.33,"Belkin"
"3560",139032.0593,80,3,20,7,679.86,"Belkin"
"3561",90928.04652,62,3,16,5,737.56,"Belkin"
"3562",94527.18373,22,2,20,5,630.94,"Elago"
"3563",36921.51492,45,1,3,3,612.43,"Elago"
"3564",60095.40817,59,2,7,3,589.56,"Belkin"
"3567",129327.4802,60,2,14,3,783.91,"Elago"
"3568",142564.5221,46,4,1,8,759.57,"Elago"
"3569",47038.66895,37,2,20,4,483.75,"Elago"
"3570",88358.0187,35,2,15,4,573.12,"Belkin"
"3571",85263.99025,67,3,7,1,628.81,"Belkin"
"3573",115216.7937,57,3,13,2,771.93,"Elago"
"3575",40480.6698,31,2,3,2,546.86,"Elago"
"3576",101188.6031,64,3,9,4,664.73,"Elago"
"3577",73974.73994,24,2,17,5,590.17,"Belkin"
"3578",36383.29103,65,1,3,2,465.05,"Belkin"
"3579",103802.4531,74,3,19,5,743.24,"Elago"
"3580",34644.88874,45,2,15,7,592.17,"Elago"
"3583",28054.54783,74,2,15,6,568.82,"Belkin"
"3584",102628.9736,39,3,20,3,613.52,"Belkin"
"3585",24073.78764,59,1,18,8,560.99,"Elago"
"3586",79055.20726,20,2,2,3,629.76,"Elago"
"3587",47086.20488,38,1,8,6,586.15,"Belkin"
"3588",86486.6343,51,2,3,0,561.23,"Belkin"
"3589",82074.11619,52,3,7,2,549.54,"Belkin"
"3590",128463.5137,60,3,6,8,701.21,"Belkin"
"3592",138860.1354,56,3,20,7,812.18,"Belkin"
"3596",67487.86901,36,2,4,3,542.66,"Belkin"
"3597",77121.16967,21,2,4,3,705.54,"Elago"
"3598",88956.40873,37,2,18,4,652.43,"Belkin"
"3599",105223.7508,51,2,14,3,690.17,"Belkin"
"3600",143379.7735,52,3,11,8,832.73,"Elago"
"3601",147862.3921,69,4,1,4,745.86,"Belkin"
"3603",140541.6147,31,3,14,6,728.96,"Elago"
"3604",43176.15702,27,2,20,6,490.05,"Elago"
"3605",38348.14372,69,2,19,1,479.91,"Belkin"
"3608",136374.5117,32,2,14,3,644.42,"Elago"
"3609",47129.85157,34,2,8,8,548.63,"Elago"
"3612",107643.1662,44,3,3,1,747.07,"Belkin"
"3613",38989.32535,47,1,20,0,475.9,"Elago"
"3615",109044.3022,65,3,8,8,708.5,"Belkin"
"3616",135593.7553,69,3,13,8,656.27,"Belkin"
"3617",29920.7039,55,2,15,3,613.77,"Elago"
"3618",130049.0236,53,3,13,1,647.41,"Elago"
"3619",138975.2117,41,3,12,0,647.67,"Elago"
"3621",63495.54036,21,2,12,6,609.69,"Elago"
"3622",53058.27664,53,3,20,0,586.95,"Elago"
"3624",97417.39135,53,3,6,0,615.04,"Belkin"
"3625",121100.0327,28,3,4,0,716.7,"Elago"
"3626",123099.7138,61,3,20,4,740.03,"Elago"
"3627",125257.4687,29,4,1,5,673.56,"Elago"
"3629",47803.21227,47,2,7,3,580.19,"Elago"
"3631",55608.98196,20,2,6,8,597.59,"Elago"
"3634",120818.8875,20,3,13,7,692.3,"Elago"
"3635",131203.5896,80,3,3,3,763.99,"Belkin"
"3636",34954.99635,73,2,18,1,478.55,"Elago"
"3641",149294.3158,33,3,11,1,791.32,"Elago"
"3642",32633.38836,68,1,15,4,586,"Elago"
"3643",108108.5893,54,3,5,3,617.2,"Belkin"
"3644",94914.72505,66,3,13,7,567.03,"Belkin"
"3645",44902.85961,38,2,7,3,550.09,"Elago"
"3646",60683.1354,45,1,8,4,659.52,"Elago"
"3647",20000,45,1,20,3,485.15,"Elago"
"3648",27073.87428,22,1,15,6,520.58,"Elago"
"3649",96521.52528,31,2,3,2,737.61,"Elago"
"3650",95893.53057,79,2,14,2,734.68,"Belkin"
"3653",133643.3883,41,3,5,6,721.33,"Elago"
"3654",124159.779,77,3,1,4,717.23,"Belkin"
"3655",99994.86369,58,3,17,1,639.83,"Belkin"
"3658",83295.48185,68,3,20,5,683.54,"Belkin"
"3659",69383.5988,80,1,20,6,516.39,"Belkin"
"3660",64426.01789,80,2,10,1,652.13,"Belkin"
"3661",129443.8747,43,3,12,6,722.46,"Elago"
"3662",45143.66628,55,2,20,2,616.77,"Elago"
"3663",66887.4951,76,1,19,0,522.85,"Belkin"
"3664",51827.40209,56,2,5,5,581.64,"Elago"
"3667",99307.32516,55,3,3,5,695.05,"Belkin"
"3670",79709.08819,51,2,3,1,641.29,"Belkin"
"3671",53740.61667,63,2,20,5,517.05,"Elago"
"3673",102868.7021,63,3,7,3,684.86,"Belkin"
"3676",70568.73052,36,3,17,4,676.92,"Belkin"
"3678",81122.04245,22,2,6,1,692.53,"Belkin"
"3679",145926.2942,72,3,11,2,790.45,"Belkin"
"3680",75684.13151,67,3,6,7,607.11,"Belkin"
"3681",52142.90723,39,2,20,2,502.43,"Elago"
"3686",81969.84836,80,3,9,2,644.55,"Belkin"
"3687",88187.93804,61,2,10,0,608.07,"Elago"
"3688",52685.98532,56,3,1,0,590.9,"Belkin"
"3689",116507.9862,32,4,19,1,776.44,"Elago"
"3690",111718.6703,46,3,8,1,656.49,"Belkin"
"3691",53859.6977,33,2,4,8,515.31,"Elago"
"3692",108188.9401,67,3,13,6,609.48,"Belkin"
"3693",84932.16757,29,2,14,1,681.25,"Belkin"
"3695",133731.7731,80,3,14,7,731.54,"Belkin"
"3696",111910.5831,32,2,2,0,652.39,"Elago"
"3697",89324.74492,73,2,5,6,678.5,"Elago"
"3698",133268.9835,60,3,6,5,686.55,"Belkin"
"3700",147771.3641,61,4,2,3,740.33,"Belkin"
"3702",98628.33966,33,2,5,5,720.46,"Elago"
"3703",63167.79343,72,2,4,4,511.31,"Elago"
"3704",26577.68279,57,2,16,4,471.89,"Elago"
"3705",98144.65385,70,2,3,4,735.18,"Elago"
"3706",85196.45092,69,2,13,3,612.96,"Belkin"
"3707",80022.41313,68,2,14,8,563.77,"Belkin"
"3708",40863.94382,24,2,10,2,561.58,"Elago"
"3709",70192.7273,53,2,7,2,676.55,"Elago"
"3710",106688.4525,30,2,20,1,614.62,"Elago"
"3711",74272.1252,38,2,6,2,535.4,"Belkin"
"3713",94539.20665,48,2,12,7,704.05,"Belkin"
"3714",58909.51917,48,2,4,0,600.32,"Elago"
"3716",59974.48903,68,2,6,6,656.51,"Belkin"
"3717",108137.9076,25,2,19,1,600.06,"Elago"
"3718",98296.0355,73,2,4,1,609.59,"Belkin"
"3721",70251.68358,68,2,3,4,583.53,"Belkin"
"3723",28317.06799,68,1,18,8,578.84,"Elago"
"3725",128953.4093,76,3,13,7,809.3,"Belkin"
"3727",149326.4487,35,4,1,2,815.22,"Elago"
"3728",90722.79069,49,3,15,8,558.09,"Belkin"
"3730",125822.3872,26,3,6,0,798.34,"Elago"
"3731",73934.13845,24,2,20,4,570.61,"Elago"
"3732",104236.7524,38,3,3,6,599.82,"Elago"
"3733",66265.05406,71,3,20,6,512.73,"Belkin"
"3734",55086.038,20,2,7,6,565.4,"Belkin"
"3735",100458.9387,67,2,14,1,638.61,"Belkin"
"3739",80892.95189,58,2,16,4,548.64,"Belkin"
"3740",43065.48481,39,1,20,8,503.36,"Elago"
"3741",36397.2762,27,1,18,7,587.17,"Belkin"
"3742",143518.7189,34,4,17,6,724.09,"Elago"
"3743",66245.08597,23,1,7,8,557.5,"Elago"
"3744",50896.09481,26,2,7,4,657.51,"Elago"
"3745",84964.58598,50,2,2,0,704.67,"Belkin"
"3746",60784.21953,24,3,8,2,545.53,"Elago"
"3748",26837.81968,34,2,18,0,537.3,"Elago"
"3749",107912.5054,28,3,16,4,652.84,"Elago"
"3750",20257.50335,51,2,20,2,423.71,"Elago"
"3751",87255.76573,75,2,4,7,584.55,"Elago"
"3753",88289.28072,25,2,15,6,636.83,"Belkin"
"3755",58379.64397,62,1,18,3,588.34,"Belkin"
"3756",76441.29898,24,3,3,3,639.34,"Elago"
"3757",142752.7845,38,3,16,8,830.19,"Elago"
"3760",52110.63603,27,1,20,7,515.68,"Elago"
"3761",38831.28634,33,2,1,0,473.98,"Elago"
"3764",20000,80,2,18,0,494.4,"Elago"
"3767",79617.49621,70,2,18,5,653.22,"Elago"
"3768",98425.54753,52,3,14,5,746.25,"Belkin"
"3769",104734.8604,20,3,8,6,750.91,"Elago"
"3772",80798.43468,47,2,3,5,679.02,"Belkin"
"3773",71330.14713,24,2,4,8,618.08,"Belkin"
"3776",96021.39646,25,3,9,0,704.33,"Belkin"
"3778",77249.91453,55,2,13,5,589.02,"Belkin"
"3779",20000,68,1,15,2,535.01,"Belkin"
"3780",140924.8388,65,4,3,6,721.04,"Belkin"
"3782",112456.3095,48,3,13,3,683.14,"Belkin"
"3783",100820.0127,70,3,4,6,742.89,"Elago"
"3784",133315.8025,70,3,8,1,739.06,"Elago"
"3785",109406.9797,64,3,10,0,708.01,"Belkin"
"3786",86620.12831,76,3,14,7,679.85,"Elago"
"3787",132766.9743,34,3,14,1,759.56,"Elago"
"3790",41213.03623,30,2,12,1,579.22,"Elago"
"3791",113877.2196,48,3,17,8,686.05,"Belkin"
"3793",109915.3711,50,3,5,8,695.7,"Belkin"
"3794",127990.1083,20,3,13,1,662.48,"Elago"
"3796",34761.11218,64,1,18,7,513.85,"Elago"
"3797",69861.26466,80,2,15,0,570.02,"Belkin"
"3799",136300.9659,32,3,3,2,646.25,"Elago"
"3800",98678.18202,32,2,13,1,685.22,"Belkin"
"3802",143631.3481,75,3,11,8,783.78,"Belkin"
"3803",103191.4249,60,3,3,4,725.78,"Elago"
"3804",34838.95572,55,2,20,6,534.33,"Elago"
"3805",150000,56,4,12,6,796.78,"Elago"
"3807",78917.40307,20,2,6,5,654.77,"Elago"
"3808",150000,76,3,13,3,728.71,"Belkin"
"3809",114136.5826,79,3,14,3,611.38,"Belkin"
"3811",88085.49438,53,3,7,4,601.87,"Belkin"
"3812",100569.7052,35,2,5,6,639.77,"Elago"
"3814",44721.99907,37,2,5,6,632.21,"Elago"
"3815",76399.28685,45,3,8,8,632.9,"Elago"
"3817",51080.73439,31,2,1,5,605.25,"Elago"
"3821",42553.88514,52,2,7,0,578.43,"Elago"
"3822",55861.35097,54,2,4,5,547.56,"Elago"
"3823",35455.15123,74,2,20,5,500.86,"Belkin"
"3824",68550.86231,66,2,5,2,523.57,"Belkin"
"3825",35220.04364,50,2,15,1,485.92,"Elago"
"3826",60838.70906,66,3,20,8,516.7,"Belkin"
"3828",143485.7097,47,4,1,3,752.18,"Elago"
"3831",89961.17883,34,3,9,5,667.57,"Belkin"
"3832",39391.23984,28,2,7,2,621.46,"Elago"
"3833",139919.2862,33,4,1,2,649.45,"Elago"
"3835",56446.73746,20,2,8,4,609.61,"Elago"
"3836",150000,75,3,16,4,749.7,"Belkin"
"3837",47156.39362,80,1,12,0,581.19,"Belkin"
"3838",77523.35916,56,2,14,0,664.2,"Belkin"
"3839",63442.8855,22,2,10,0,639.05,"Elago"
"3842",58993.50279,20,2,8,3,556.39,"Elago"
"3843",56834.68541,55,2,6,0,637.92,"Elago"
"3844",143180.0803,40,3,7,5,777.37,"Elago"
"3845",148558.4164,37,3,1,1,739.09,"Elago"
"3846",101542.31,62,3,14,8,636.71,"Elago"
"3847",108526,41,3,3,8,713.25,"Belkin"
"3848",125446.1859,47,4,1,4,705.78,"Elago"
"3850",51488.93742,43,3,5,2,587.04,"Elago"
"3851",111459.4833,77,3,6,4,651.99,"Belkin"
"3855",144077.9697,41,3,11,2,749.57,"Elago"
"3856",121215.4726,32,3,17,0,654.37,"Elago"
"3857",82281.54802,58,3,8,6,604.14,"Belkin"
"3858",105975.8888,45,3,12,6,599.4,"Belkin"
"3859",92689.21076,45,3,16,7,583.22,"Belkin"
"3861",99947.58068,34,3,13,0,676.01,"Belkin"
"3865",145216.7372,70,3,11,0,692.37,"Elago"
"3866",115905.0079,58,3,1,5,675.07,"Belkin"
"3867",89283.1882,21,2,16,6,703.93,"Belkin"
"3868",101250.0666,47,2,10,5,739.84,"Belkin"
"3869",96243.30732,28,3,16,5,720.78,"Belkin"
"3872",47960.89611,57,1,18,2,624.17,"Elago"
"3873",107148.3825,42,3,13,0,667.84,"Belkin"
"3874",131050.2667,24,2,14,2,783.03,"Elago"
"3875",121449.3157,50,4,9,1,727.42,"Belkin"
"3878",61209.81018,74,2,7,7,545.48,"Belkin"
"3879",124448.956,22,2,19,3,766.68,"Elago"
"3881",72484.23063,28,3,20,5,696.9,"Belkin"
"3882",64071.24305,20,2,1,0,510.09,"Belkin"
"3883",119454.6445,66,4,2,6,788.78,"Elago"
"3884",104616.0633,41,3,4,8,665.69,"Belkin"
"3885",92127.80018,41,2,2,7,724.9,"Belkin"
"3888",107465.7785,79,2,9,2,685.09,"Belkin"
"3889",26974.14621,69,1,18,1,525.03,"Belkin"
"3890",148225.8559,65,3,16,5,690.1,"Belkin"
"3891",68137.9086,50,3,17,1,595.59,"Elago"
"3892",117786.4408,30,2,9,0,701.65,"Belkin"
"3893",27113.58906,73,1,7,4,499.9,"Belkin"
"3894",37490.32724,43,2,7,7,530.06,"Elago"
"3898",138716.2882,67,3,3,4,676.06,"Elago"
"3899",37470.1771,79,2,7,7,607.18,"Belkin"
"3902",23970.76167,78,1,20,2,450.19,"Elago"
"3905",78335.67229,25,2,12,2,638.97,"Elago"
"3907",77067.57763,51,2,10,1,687.41,"Elago"
"3908",99064.74563,55,3,16,6,646.97,"Belkin"
"3909",144427.0513,46,3,10,7,787.2,"Elago"
"3910",94724.28998,41,2,17,4,617.85,"Belkin"
"3911",60695.8681,56,3,8,5,519.63,"Elago"
